Sucursal,Tienda (nombre oficial),Lat tienda,Lon tienda,Promesa de entrega,Minutos,Banda de tiempo,Destino,Tipo de destino,Departamento,Municipio,Sección/Depto. en lámina,Latitud,Longitud,"Coordenadas (lat, lon)",Confianza coordenada,Verificar en Google Maps,Lámina
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,10 min,10,Mostrador (0-10 min),Mostrador,Tienda,Guatemala,Guatemala,,14.651921,-90.42969,"14.651921, -90.42969",Exacta (tienda),Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,45 min,45,Hasta 45 min,Colonia Galilea,Colonia,Guatemala,Guatemala,,14.672,-90.475,"14.672, -90.475",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,45 min,45,Hasta 45 min,Kilómetro 6,Punto carretera,Guatemala,Guatemala,,14.656,-90.49,"14.656, -90.49",Media,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,45 min,45,Hasta 45 min,Kilómetro 7,Punto carretera,Guatemala,Guatemala,,14.661,-90.483,"14.661, -90.483",Media,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,45 min,45,Hasta 45 min,Kilómetro 8,Punto carretera,Guatemala,Guatemala,,14.666,-90.476,"14.666, -90.476",Media,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,45 min,45,Hasta 45 min,Llano largo,Colonia,Guatemala,Guatemala,,14.675,-90.47,"14.675, -90.47",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,45 min,45,Hasta 45 min,Lo de Rodriguez,Colonia,Guatemala,Guatemala,,14.67,-90.48,"14.67, -90.48",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,1 hr,60,Hasta 1 hr,El chato,Aldea,Guatemala,Palencia,,14.68,-90.45,"14.68, -90.45",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,1 hr,60,Hasta 1 hr,Gran Cañón,Colonia,Guatemala,Guatemala,,14.678,-90.455,"14.678, -90.455",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,1 hr,60,Hasta 1 hr,La Maya,Aldea,Guatemala,Palencia,,14.687,-90.425,"14.687, -90.425",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,1 hr,60,Hasta 1 hr,Las Conchas,Aldea,Guatemala,Palencia,,14.682,-90.435,"14.682, -90.435",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,1 hr,60,Hasta 1 hr,Los Olivos,Colonia,Guatemala,Guatemala,,14.676,-90.46,"14.676, -90.46",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,1 hr,60,Hasta 1 hr,Pinares,Aldea,Guatemala,Palencia,,14.685,-90.44,"14.685, -90.44",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,1 hr,60,Hasta 1 hr,San Rafael,Aldea,Guatemala,Palencia,,14.69,-90.43,"14.69, -90.43",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,2 hrs,120,Hasta 2 hrs,Agua Caliente,Aldea,Guatemala,San José del Golfo,,14.7,-90.4,"14.7, -90.4",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,2 hrs,120,Hasta 2 hrs,Agua linda,Aldea,Guatemala,Palencia,,14.695,-90.42,"14.695, -90.42",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,2 hrs,120,Hasta 2 hrs,Aldea plan grande,Aldea,Guatemala,Palencia,,14.67,-90.34,"14.67, -90.34",Baja,Ver en mapa,10
ATLÁNTICO,Truck Depot Salida a el Atlántico,14.651921,-90.42969,2 hrs,120,Hasta 2 hrs,El Manzanote,Aldea,Guatemala,Palencia,,14.68,-90.32,"14.68, -90.32",Baja,Ver en mapa,10
